game_id,team,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate,second_chance_pts,bench_pts,fast_break_pts,points_in_paint,pts_off_turnovers
741605,אליצור יבנה,87,26,48,54.2,4,20,20.0,30,68,44.1,23,34,67.6,36,13,49,20,26,7,11,23,7,1,118,10,9,20,48,13
741605,מכבי חיפה גיא נתן,76,20,49,40.8,6,29,20.7,26,78,33.3,18,24,75.0,31,19,50,26,20,4,10,21,1,7,71,19,36,14,32,11
741602,הפועל נווה שאנן חיפה,79,11,29,37.9,12,42,28.6,23,71,32.4,21,27,77.8,24,17,41,20,22,14,9,16,0,3,85,15,13,14,18,21
741602,אליצור שומרון,74,22,34,64.7,7,19,36.8,29,53,54.7,9,16,56.2,32,5,37,23,19,4,18,15,3,0,79,4,18,15,36,7
741606,מכבי אשדוד,92,29,43,67.4,9,27,33.3,38,70,54.3,7,10,70.0,26,13,39,19,18,7,15,24,4,1,114,17,10,14,56,17
741606,א.ס. עירוני אשקלון,88,19,51,37.3,12,28,42.9,31,79,39.2,14,17,82.4,21,22,43,18,19,7,12,17,1,4,90,20,34,12,34,20
741607,הפועל מגדל העמק/יזרעאל,90,20,39,51.3,12,27,44.4,32,66,48.5,14,21,66.7,28,8,36,20,18,7,11,25,2,1,105,11,30,18,36,18
741607,מ.ס צפת,80,19,36,52.8,10,29,34.5,29,65,44.6,12,17,70.6,28,9,37,18,20,2,15,25,1,2,89,12,18,13,38,10
741601,מ.כ עוטף דרום,94,20,33,60.6,7,25,28.0,27,58,46.6,33,43,76.7,28,9,37,22,30,11,15,24,2,1,119,8,25,27,40,18
741601,מכבי קרית גת,87,23,47,48.9,9,23,39.1,32,70,45.7,14,17,82.4,27,11,38,30,22,7,18,14,1,2,78,14,17,17,42,10
741608,עירוני נהריה,95,28,44,63.6,9,25,36.0,37,69,53.6,12,17,70.6,31,12,43,18,18,10,10,25,4,3,127,18,31,26,48,17
741608,מ.כ עוטף דרום,70,12,37,32.4,11,28,39.3,23,65,35.4,13,15,86.7,23,10,33,18,18,6,13,19,3,4,70,13,31,5,20,7
741687,מכבי רחובות,86,24,45,53.3,8,26,30.8,32,71,45.1,14,21,66.7,28,16,44,21,23,8,12,24,1,4,103,21,35,8,38,10
741687,אליצור שומרון,77,21,45,46.7,9,21,42.9,30,66,45.5,8,18,44.4,23,11,34,24,21,7,13,18,4,1,76,15,33,13,38,13
741610,מכבי חיפה גיא נתן,77,16,31,51.6,10,30,33.3,26,61,42.6,15,18,83.3,34,11,45,27,19,4,21,19,0,1,76,9,31,9,30,9
741610,מכבי אשדוד,89,17,41,41.5,10,23,43.5,27,64,42.2,25,44,56.8,25,13,38,19,26,15,9,15,1,0,100,13,26,12,30,14
741609,א.ס. עירוני אשקלון,108,32,50,64.0,9,22,40.9,41,72,56.9,17,19,89.5,26,11,37,18,22,10,17,25,1,3,131,15,30,23,52,19
741609,הפועל מגדל העמק/יזרעאל,98,30,52,57.7,8,29,27.6,38,81,46.9,14,20,70.0,20,19,39,22,17,11,16,28,3,1,108,20,43,23,56,27
741614,מכבי קרית גת,88,22,50,44.0,8,21,38.1,30,71,42.3,20,25,80.0,40,13,53,21,20,9,18,21,4,5,105,11,28,27,42,13
741614,הפועל נווה שאנן חיפה,61,19,46,41.3,4,30,13.3,23,76,30.3,11,18,61.1,26,14,40,20,21,9,16,17,5,4,53,14,4,19,34,16
741615,"א.ס רמה""ש ירק השדה",89,29,45,64.4,6,24,25.0,35,69,50.7,13,19,68.4,25,10,35,15,20,12,10,27,0,0,118,9,15,21,48,26
741615,מ.ס צפת,69,16,38,42.1,10,28,35.7,26,66,39.4,7,10,70.0,26,15,41,20,15,6,21,14,0,0,61,15,16,9,24,13
741611,"מכבי פ""ת",93,19,36,52.8,15,32,46.9,34,68,50.0,10,17,58.8,28,10,38,27,20,11,20,21,4,6,93,11,13,11,34,16
741611,אליצור יבנה,91,27,46,58.7,8,22,36.4,35,68,51.5,13,28,46.4,24,14,38,21,27,14,18,18,6,4,102,16,11,17,52,19
741619,הפועל אסטרל אילת,83,19,44,43.2,9,22,40.9,28,66,42.4,18,21,85.7,30,10,40,21,21,8,8,17,1,1,99,12,15,11,36,20
